common_name,official_name
Western Sahara,Sahrawi Arab Democratic Republic
Uruguay,Oriental Republic of Uruguay
Barbados,Barbados
Guernsey,Bailiwick of Guernsey
Estonia,Republic of Estonia
Kenya,Republic of Kenya
Jamaica,Jamaica
Luxembourg,Grand Duchy of Luxembourg
Guadeloupe,Guadeloupe
Tunisia,Tunisian Republic
Cayman Islands,Cayman Islands
Mozambique,Republic of Mozambique
Tokelau,Tokelau
Germany,Federal Republic of Germany
Liberia,Republic of Liberia
Pitcairn Islands,Pitcairn Group of Islands
Saint Pierre and Miquelon,Saint Pierre and Miquelon
South Sudan,Republic of South Sudan
Slovakia,Slovak Republic
Palau,Republic of Palau
Cyprus,Republic of Cyprus
Libya,State of Libya
Mayotte,Department of Mayotte
Turkmenistan,Turkmenistan
Equatorial Guinea,Republic of Equatorial Guinea
Nigeria,Federal Republic of Nigeria
Norway,Kingdom of Norway
Bosnia and Herzegovina,Bosnia and Herzegovina
South Africa,Republic of South Africa
Denmark,Kingdom of Denmark
Laos,Lao People's Democratic Republic
Madagascar,Republic of Madagascar
El Salvador,Republic of El Salvador
Andorra,Principality of Andorra
Sri Lanka,Democratic Socialist Republic of Sri Lanka
Rwanda,Republic of Rwanda
Armenia,Republic of Armenia
Chad,Republic of Chad
Benin,Republic of Benin
Syria,Syrian Arab Republic
Spain,Kingdom of Spain
Thailand,Kingdom of Thailand
Svalbard and Jan Mayen,Svalbard og Jan Mayen
Ukraine,Ukraine
China,People's Republic of China
Malawi,Republic of Malawi
Panama,Republic of Panama
Bahrain,Kingdom of Bahrain
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Jersey,Bailiwick of Jersey
Burkina Faso,Burkina Faso
Poland,Republic of Poland
Belgium,Kingdom of Belgium
Bahamas,Commonwealth of the Bahamas
Costa Rica,Republic of Costa Rica
San Marino,Republic of San Marino
New Zealand,New Zealand
French Guiana,Guiana
Norfolk Island,Territory of Norfolk Island
Lebanon,Lebanese Republic
Zambia,Republic of Zambia
Eswatini,Kingdom of Eswatini
Palestine,State of Palestine
