common_name,region,subregion
British Indian Ocean Territory,Africa,Eastern Africa
Moldova,Europe,Eastern Europe
Hong Kong,Asia,Eastern Asia
Pakistan,Asia,Southern Asia
Saudi Arabia,Asia,Western Asia
Angola,Africa,Middle Africa
New Caledonia,Oceania,Melanesia
Lithuania,Europe,Northern Europe
Netherlands,Europe,Western Europe
Greenland,Americas,North America
Vatican City,Europe,Southern Europe
Micronesia,Oceania,Micronesia
Kuwait,Asia,Western Asia
Switzerland,Europe,Western Europe
Saint Lucia,Americas,Caribbean
Turks and Caicos Islands,Americas,Caribbean
Malta,Europe,Southern Europe
Tonga,Oceania,Polynesia
Guatemala,Americas,Central America
Uganda,Africa,Eastern Africa
Guinea,Africa,Western Africa
American Samoa,Oceania,Polynesia
Sint Maarten,Americas,Caribbean
Nepal,Asia,Southern Asia
Slovenia,Europe,Central Europe
British Virgin Islands,Americas,Caribbean
Ethiopia,Africa,Eastern Africa
Kiribati,Oceania,Micronesia
Guam,Oceania,Micronesia
Togo,Africa,Western Africa
Papua New Guinea,Oceania,Melanesia
Iceland,Europe,Northern Europe
Northern Mariana Islands,Oceania,Micronesia
Austria,Europe,Central Europe
Morocco,Africa,Northern Africa
Iraq,Asia,Western Asia
Liechtenstein,Europe,Western Europe
Dominican Republic,Americas,Caribbean
Ecuador,Americas,South America
Sierra Leone,Africa,Western Africa
Belize,Americas,Central America
Bhutan,Asia,Southern Asia
Iran,Asia,Southern Asia
Bolivia,Americas,South America
Turkey,Asia,Western Asia
Faroe Islands,Europe,Northern Europe
Saint Barthélemy,Americas,Caribbean
Greece,Europe,Southern Europe
India,Asia,Southern Asia
Nicaragua,Americas,Central America
Central African Republic,Africa,Middle Africa
DR Congo,Africa,Middle Africa
Mali,Africa,Western Africa
Azerbaijan,Asia,Western Asia
Singapore,Asia,South-Eastern Asia
Cuba,Americas,Caribbean
Bangladesh,Asia,Southern Asia
Marshall Islands,Oceania,Micronesia
Latvia,Europe,Northern Europe
Hungary,Europe,Central Europe
Åland Islands,Europe,Northern Europe
Bulgaria,Europe,Southeast Europe
Seychelles,Africa,Eastern Africa
Cameroon,Africa,Middle Africa
Macau,Asia,Eastern Asia
Mexico,Americas,North America
Brunei,Asia,South-Eastern Asia
Taiwan,Asia,Eastern Asia
Aruba,Americas,Caribbean
Trinidad and Tobago,Americas,Caribbean
Vanuatu,Oceania,Melanesia
Algeria,Africa,Northern Africa
Cook Islands,Oceania,Polynesia
Burundi,Africa,Eastern Africa
Belarus,Europe,Eastern Europe
North Korea,Asia,Eastern Asia
Saint Martin,Americas,Caribbean
Samoa,Oceania,Polynesia
Zimbabwe,Africa,Southern Africa
Bermuda,Americas,North America
Djibouti,Africa,Eastern Africa
United Kingdom,Europe,Northern Europe
Niue,Oceania,Polynesia
Guinea-Bissau,Africa,Western Africa
Japan,Asia,Eastern Asia
Tuvalu,Oceania,Polynesia
Réunion,Africa,Eastern Africa
Sudan,Africa,Northern Africa
North Macedonia,Europe,Southeast Europe
Canada,Americas,North America
Indonesia,Asia,South-Eastern Asia
Gambia,Africa,Western Africa
Somalia,Africa,Eastern Africa
Mauritius,Africa,Eastern Africa
Montserrat,Americas,Caribbean
Russia,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Oman,Asia,Western Asia
Christmas Island,Oceania,Australia and New Zealand
Croatia,Europe,Southeast Europe
Mongolia,Asia,Eastern Asia
Tajikistan,Asia,Central Asia
Solomon Islands,Oceania,Melanesia
Haiti,Americas,Caribbean
Honduras,Americas,Central America
Namibia,Africa,Southern Africa
Argentina,Americas,South America
Niger,Africa,Western Africa
Timor-Leste,Asia,South-Eastern Asia
Western Sahara,Africa,Northern Africa
Uruguay,Americas,South America
Barbados,Americas,Caribbean
Guernsey,Europe,Northern Europe
Estonia,Europe,Northern Europe
Kenya,Africa,Eastern Africa
Jamaica,Americas,Caribbean
Luxembourg,Europe,Western Europe
Guadeloupe,Americas,Caribbean
Tunisia,Africa,Northern Africa
Cayman Islands,Americas,Caribbean
Mozambique,Africa,Eastern Africa
Tokelau,Oceania,Polynesia
Germany,Europe,Western Europe
Liberia,Africa,Western Africa
Pitcairn Islands,Oceania,Polynesia
Saint Pierre and Miquelon,Americas,North America
South Sudan,Africa,Middle Africa
Slovakia,Europe,Central Europe
Palau,Oceania,Micronesia
Cyprus,Europe,Southern Europe
Libya,Africa,Northern Africa
Mayotte,Africa,Eastern Africa
Turkmenistan,Asia,Central Asia
Equatorial Guinea,Africa,Middle Africa
Nigeria,Africa,Western Africa
Norway,Europe,Northern Europe
Bosnia and Herzegovina,Europe,Southeast Europe
South Africa,Africa,Southern Africa
Denmark,Europe,Northern Europe
Laos,Asia,South-Eastern Asia
Madagascar,Africa,Eastern Africa
El Salvador,Americas,Central America
Andorra,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
Rwanda,Africa,Eastern Africa
Armenia,Asia,Western Asia
Chad,Africa,Middle Africa
Benin,Africa,Western Africa
Syria,Asia,Western Asia
Spain,Europe,Southern Europe
Thailand,Asia,South-Eastern Asia
Svalbard and Jan Mayen,Europe,Northern Europe
Ukraine,Europe,Eastern Europe
China,Asia,Eastern Asia
Malawi,Africa,Eastern Africa
Panama,Americas,Central America
Bahrain,Asia,Western Asia
Saint Vincent and the Grenadines,Americas,Caribbean
Jersey,Europe,Northern Europe
Burkina Faso,Africa,Western Africa
Poland,Europe,Central Europe
Belgium,Europe,Western Europe
Bahamas,Americas,Caribbean
Costa Rica,Americas,Central America
San Marino,Europe,Southern Europe
New Zealand,Oceania,Australia and New Zealand
French Guiana,Americas,South America
Norfolk Island,Oceania,Australia and New Zealand
Lebanon,Asia,Western Asia
Zambia,Africa,Eastern Africa
Eswatini,Africa,Southern Africa
Palestine,Asia,Western Asia
