common_name,lang_code,lang
Guadeloupe,fra,French
Tunisia,ara,Arabic
Cayman Islands,eng,English
Mozambique,por,Portuguese
Tokelau,eng,English
Tokelau,smo,Samoan
Tokelau,tkl,Tokelauan
Germany,deu,German
Liberia,eng,English
Pitcairn Islands,eng,English
Saint Pierre and Miquelon,fra,French
South Sudan,eng,English
Slovakia,slk,Slovak
Palau,eng,English
Palau,pau,Palauan
Cyprus,ell,Greek
Cyprus,tur,Turkish
Libya,ara,Arabic
Mayotte,fra,French
Turkmenistan,rus,Russian
Turkmenistan,tuk,Turkmen
Equatorial Guinea,fra,French
Equatorial Guinea,por,Portuguese
Equatorial Guinea,spa,Spanish
Nigeria,eng,English
Norway,nno,Norwegian Nynorsk
Norway,nob,Norwegian Bokmål
Norway,smi,Sami
Bosnia and Herzegovina,bos,Bosnian
Bosnia and Herzegovina,hrv,Croatian
Bosnia and Herzegovina,srp,Serbian
South Africa,afr,Afrikaans
South Africa,eng,English
South Africa,nbl,Southern Ndebele
South Africa,nso,Northern Sotho
South Africa,sot,Southern Sotho
South Africa,ssw,Swazi
South Africa,tsn,Tswana
South Africa,tso,Tsonga
South Africa,ven,Venda
South Africa,xho,Xhosa
South Africa,zul,Zulu
Denmark,dan,Danish
Laos,lao,Lao
Madagascar,fra,French
Madagascar,mlg,Malagasy
El Salvador,spa,Spanish
Andorra,cat,Catalan
Sri Lanka,sin,Sinhala
Sri Lanka,tam,Tamil
Rwanda,eng,English
Rwanda,fra,French
Rwanda,kin,Kinyarwanda
Armenia,hye,Armenian
Chad,ara,Arabic
Chad,fra,French
Benin,fra,French
Syria,ara,Arabic
Spain,spa,Spanish
Thailand,tha,Thai
Svalbard and Jan Mayen,nor,Norwegian
Ukraine,ukr,Ukrainian
China,zho,Chinese
Malawi,eng,English
Malawi,nya,Chewa
Panama,spa,Spanish
Bahrain,ara,Arabic
Saint Vincent and the Grenadines,eng,English
Jersey,eng,English
Jersey,fra,French
Jersey,nrf,Jèrriais
Burkina Faso,fra,French
Poland,pol,Polish
Belgium,deu,German
Belgium,fra,French
Belgium,nld,Dutch
Bahamas,eng,English
Costa Rica,spa,Spanish
San Marino,ita,Italian
New Zealand,eng,English
New Zealand,mri,Māori
New Zealand,nzs,New Zealand Sign Language
French Guiana,fra,French
Norfolk Island,eng,English
Norfolk Island,pih,Norfuk
Lebanon,ara,Arabic
Lebanon,fra,French
Zambia,eng,English
Eswatini,eng,English
Eswatini,ssw,Swazi
Palestine,ara,Arabic
