common_name,timezones
Chad,UTC+01:00
Benin,UTC+01:00
Syria,UTC+02:00
Spain,UTC
Spain,UTC+01:00
Thailand,UTC+07:00
Svalbard and Jan Mayen,UTC+01:00
Ukraine,UTC+02:00
China,UTC+08:00
Malawi,UTC+02:00
Panama,UTC-05:00
Bahrain,UTC+03:00
Saint Vincent and the Grenadines,UTC-04:00
Jersey,UTC+01:00
Burkina Faso,UTC
Poland,UTC+01:00
Belgium,UTC+01:00
Bahamas,UTC-05:00
Costa Rica,UTC-06:00
San Marino,UTC+01:00
New Zealand,UTC-11:00
New Zealand,UTC-10:00
New Zealand,UTC+12:00
New Zealand,UTC+12:45
New Zealand,UTC+13:00
French Guiana,UTC-03:00
Norfolk Island,UTC+11:30
Lebanon,UTC+02:00
Zambia,UTC+02:00
Eswatini,UTC+02:00
Palestine,UTC+02:00
